index,mpg-city,mpg-highway,horsepower,torque
5022,21,27,170,174
5023,21,27,170,174
5024,21,27,170,174
5025,19,24,224,226
5026,19,24,224,226
5027,15,23,220,258
5028,13,21,220,258
5029,23,33,150,140
5030,23,33,150,140
5031,23,30,150,140
5032,22,30,150,140
5033,22,30,150,140
5034,13,19,420,346
5035,13,19,420,346
5036,15,23,220,258
5037,18,28,220,258
5038,18,28,220,258
5039,15,23,220,258
5040,18,28,220,258
5041,20,33,220,258
5042,18,27,263,249
5043,17,25,263,249
5044,17,25,274,270
5045,17,25,355,350
5046,16,23,274,270
5047,19,26,305,280
5048,17,23,305,280
5049,17,24,268,267
5050,16,22,355,350
5051,11,18,505,752
5052,10,14,310,365
5053,13,18,310,365
5054,10,14,310,365
5055,9,13,310,365
5056,31,37,122,128
5057,31,37,122,128
5058,27,33,117,106
5059,27,33,117,106
5060,28,35,117,106
5061,27,33,117,106
5062,18,27,248,250
5063,18,27,248,250
5064,19,28,248,250
5065,18,27,248,250
5066,19,28,248,250
5067,18,25,250,253
5068,17,24,250,253
5069,18,25,250,253
5070,17,24,250,253
5071,18,25,250,253
5072,12,20,552,398
5073,12,20,552,398
5074,17,25,315,330
5075,17,25,315,330
